date,nav_per_unit,short_name
2009-12-03,25561.55,DCDS
2009-12-10,23366.49,DCDS
2009-12-17,22225.52,DCDS
2009-12-24,23825.24,DCDS
2009-12-31,24798.7,DCDS
2010-01-07,25919.86,DCDS
2010-01-14,25479.53,DCDS
2010-01-21,24154.92,DCDS
2010-01-28,24571.84,DCDS
2010-01-31,24600.93,DCDS
2010-02-04,25396.73,DCDS
2010-02-11,25133.97,DCDS
2010-02-18,25274.96,DCDS
2010-02-25,24794.56,DCDS
2010-02-28,24758.8,DCDS
2010-03-04,25508.12,DCDS
2010-03-11,26300.43,DCDS
2010-03-18,26120.23,DCDS
2010-03-25,25437.65,DCDS
2010-03-31,25330.21,DCDS
2010-04-01,25657.28,DCDS
2010-04-08,26009.52,DCDS
2010-04-15,26165.4,DCDS
2010-04-22,25038.35,DCDS
2010-04-29,25607.38,DCDS
2010-04-30,25606.69,DCDS
2010-05-06,25589.04,DCDS
2010-05-13,24760.06,DCDS
2010-05-20,24440.51,DCDS
2010-05-27,24167.66,DCDS
2010-05-31,24347.32,DCDS
2010-06-03,24300.15,DCDS
2010-06-10,24026.73,DCDS
2010-06-17,24281.54,DCDS
2010-06-24,24398.42,DCDS
2010-06-30,24403.8,DCDS
2010-07-01,24305.97,DCDS
2010-07-08,24102.09,DCDS
2010-07-15,24357.5,DCDS
2010-07-22,24054.1,DCDS
2010-07-29,23982.61,DCDS
2010-07-31,24077.48,DCDS
2010-08-05,23896.08,DCDS
2010-08-12,22228.36,DCDS
2010-08-17,22275.31,DCDS
2010-08-26,21220.86,DCDS
2010-08-31,22055.96,DCDS
2010-09-02,22287.64,DCDS
2010-09-09,22443.78,DCDS
2010-09-16,21873.67,DCDS
2010-09-23,21978.27,DCDS
2010-09-30,22000.73,DCDS
2010-10-07,21770.07,DCDS
2010-10-14,21531.79,DCDS
2010-10-21,20958.31,DCDS
2010-10-28,21602.57,DCDS
2010-10-31,21865.41,DCDS
2010-11-04,21618.72,DCDS
2010-11-11,21231.44,DCDS
2010-11-18,20229.55,DCDS
2010-11-25,20657.46,DCDS
2010-11-30,20954.4,DCDS
2010-12-02,21233.19,DCDS
2010-12-09,21174.99,DCDS
2010-12-16,21575.2,DCDS
2010-12-23,21513.58,DCDS
2010-12-30,21681.92,DCDS
2010-12-31,21262.67,DCDS
2011-01-06,21026.43,DCDS
2011-01-13,20815.45,DCDS
2011-01-20,21183.15,DCDS
2011-01-27,21501.28,DCDS
2011-01-31,21726.57,DCDS
2011-02-03,21723.45,DCDS
2011-02-10,21891.42,DCDS
2011-02-17,21233.18,DCDS
2011-02-24,19403.83,DCDS
2011-02-28,19405.23,DCDS
2011-03-03,18598.59,DCDS
2011-03-10,19429.95,DCDS
2011-03-17,19181.22,DCDS
2011-03-24,19209.92,DCDS
2011-03-31,19052.18,DCDS
2011-04-07,19052.44,DCDS
2011-04-14,18979.73,DCDS
2011-04-21,18242.54,DCDS
2011-04-28,17939.7,DCDS
2011-04-30,18056.47,DCDS
2011-05-05,18006.24,DCDS
2011-05-12,17893.92,DCDS
2011-05-19,17281.69,DCDS
2011-05-26,15893.49,DCDS
2011-05-31,16218.64,DCDS
2011-06-02,17041.9,DCDS
2011-06-09,17347.58,DCDS
2011-06-16,17124.41,DCDS
2011-06-23,16850.8,DCDS
2011-06-30,16483.85,DCDS
2011-07-07,16268.67,DCDS
2011-07-14,15955.91,DCDS
2011-07-21,15892.38,DCDS
2011-07-28,15740.21,DCDS
2011-07-31,15705.97,DCDS
2011-08-04,15346.47,DCDS
2011-08-11,14809.65,DCDS
2011-08-18,15540.88,DCDS
2011-08-25,15705.23,DCDS
2011-08-31,16411.3,DCDS
2011-09-01,16550.3,DCDS
2011-09-08,16637.84,DCDS
2011-09-15,16625.55,DCDS
2011-09-22,16548.34,DCDS
2011-09-29,15958.29,DCDS
2011-09-30,15905.72,DCDS
2011-10-06,15828.32,DCDS
2011-10-13,15493.2,DCDS
2011-10-20,15296.49,DCDS
2011-10-27,15166.41,DCDS
2011-10-31,15416.53,DCDS
2011-11-03,14873.86,DCDS
2011-11-10,14317.5,DCDS
2011-11-17,13780.92,DCDS
2011-11-24,13940.6,DCDS
2011-11-30,13464.11,DCDS
2011-12-01,13597.04,DCDS
2011-12-08,13962.95,DCDS
2011-12-15,13108.54,DCDS
2011-12-22,12847.51,DCDS
2011-12-29,12867.53,DCDS
2011-12-31,12983.35,DCDS
2012-01-05,12615.26,DCDS
2012-01-12,12654.28,DCDS
2012-01-19,13160.97,DCDS
2012-01-26,13276.37,DCDS
2012-01-31,13620.17,DCDS
2012-02-02,13989.08,DCDS
2012-02-09,13935.52,DCDS
2012-02-16,13825.62,DCDS
2012-02-23,14914.78,DCDS
2012-02-29,15016.24,DCDS
2012-03-01,15144.34,DCDS
2012-03-08,15027.36,DCDS
2012-03-15,15217.84,DCDS
2012-03-22,15188.23,DCDS
2012-03-29,14986.78,DCDS
2012-03-31,14928.78,DCDS
2012-04-05,15218.07,DCDS
2012-04-12,15903.78,DCDS
2012-04-19,15966.82,DCDS
2012-04-26,16387.02,DCDS
2012-04-30,16523.52,DCDS
2012-05-03,16596.33,DCDS
2012-05-10,17269.07,DCDS
2012-05-17,16052.99,DCDS
2012-05-24,15577.52,DCDS
2012-05-31,15663.7,DCDS
2012-06-07,15814.28,DCDS
2012-06-14,15634.89,DCDS
2012-06-21,15771.44,DCDS
2012-06-28,15343.57,DCDS
2012-06-30,15520.37,DCDS
2012-07-05,15255.26,DCDS
2012-07-12,15128.55,DCDS
2012-07-19,15888.74,DCDS
2012-07-26,15385.04,DCDS
2012-07-31,15299.28,DCDS
2012-08-02,15336.3,DCDS
2012-08-09,15738.82,DCDS
2012-08-16,15977.98,DCDS
2012-08-23,14926.31,DCDS
2012-08-30,14903.85,DCDS
2012-08-31,15044.19,DCDS
2012-09-06,14852.05,DCDS
2012-09-13,14782.4,DCDS
2012-09-20,14403.39,DCDS
2012-09-27,14589.89,DCDS
2012-09-30,14528.14,DCDS
2012-10-04,14348.81,DCDS
2012-10-11,14791.03,DCDS
2012-10-18,14995.92,DCDS
2012-10-25,14702.45,DCDS
2012-10-31,14635.69,DCDS
2012-11-01,14634.52,DCDS
2012-11-08,14480.34,DCDS
2012-11-15,14703.77,DCDS
2012-11-22,14402.08,DCDS
2012-11-29,14258.37,DCDS
2012-11-30,14345.25,DCDS
2012-12-06,14466.8,DCDS
